C0,-,12,
C#0,-,13,
D0,-,14,
D#0,-,15,
E0,-,16,
F0,-,17,
F#0,-,18,
G0,-,19,
G#0,-,20,
A0,27.500,21,
A#0,29.135,22,
B0,30.868,23,
C1,32.703,24,
C#1,34.648,25,
D1,36.708,26,
D#1,38.891,27,
E1,41.203,28,
F1,43.654,29,
F#1,46.249,30,
G1,48.999,31,
G#1,51.913,32,
A1,55.000,33,
A#1,58.270,34,
B1,61.735,35,
C2,65.406,36,
C#2,69.296,37,
D2,73.416,38,
D#2,77.782,39,
E2,82.407,40,
F2,87.307,41,
F#2,92.499,42,
G2,97.999,43,
G#2,103.826,44,
A2,110.000,45,
A#2,116.541,46,
B2,123.471,47,
C3,130.813,48,
C#3,138.591,49,
D3,146.832,50,
D#3,155.564,51,
E3,164.814,52,
F3,174.614,53,
F#3,184.997,54,
G3,195.998,55,
G#3,207.652,56,
A3,220.000,57,
A#3,233.082,58,
B3,246.942,59,
C4,261.626,60
C#4,277.183,61
D4,293.665,62
D#4,311.127,63
E4,329.628,64
F4,349.228,65
F#4,369.994,66
G4,391.995,67
G#4,415.305,68
A4,440.000,69
A#4,466.164,70
B4,493.883,71
C5,523.251,72
C#5,554.365,73
D5,587.330,74
D#5,622.254,75
E5,659.255,76
F5,698.457,77
F#5,739.989,78
G5,783.991,79
G#5,830.609,80
A5,880.000,81
A#5,932.328,82
B5,987.767,83
C6,1046.502,84
C#6,1108.731,85
D6,1174.659,86
D#6,1244.508,87
E6,1318.510,88
F6,1396.913,89
F#6,1479.978,90
G6,1567.982,91
G#6,1661.219,92
A6,1760.000,93
A#6,1864.655,94
B6,1975.533,95
C7,2093.005,96
C#7,2217.461,97
D7,2349.318,98
D#7,2489.016,99
E7,2637.021,100
F7,2793.826,101
F#7,2959.956,102
G7,3135.964,103
G#7,3322.438,104
A7,3520.000,105
A#7,3729.310,106
B7,3951.066,107
C8,4186.009,108
C#8,4434.922,109
D8,4698.637,110
D#8,4978.032,111
E8,5274.042,112
F8,5587.652,113
F#8,5919.912,114
G8,6271.928,115
G#8,6644.876,116
A8,7040.000,117
A#8,7458.620,118
B8,7902.133,119
C9,8372.019,120
C#9,8869.845,121
D9,9397.273,122
D#9,9956.064,123
E9,10548.083,124
F9,11175.305,125
F#9,11839.823,126
G9,12543.855,127
